symbol,feature_id,period_end,publication_date,metric,aggregation,asset_ids,asset_count,current_value,lag_period_end,lag_value_as_of_publication,operating_yoy_pct,current_observation_ids,lag_observation_ids,current_quality_status,lag_quality_status,lineage_quality_status,prior_yoy_observations,expected_yoy_pct,operating_surprise_pct,asset_type,decision_date,universe_count,signal_rank,signal_rank_pct,selected
180201,guanghe_traffic_yoy,2024-12-31,2025-01-22,traffic_volume,sum,guanghe_expressway,1,133700.0,2023-12-31,138700.0,-3.604902667627974,180201:guanghe_expressway:20241231:traffic_volume:SZSE_1222390047,180201:guanghe_expressway:20231231:traffic_volume:SZSE_1218956497,verified,verified,verified,3,-3.7474531863206373,0.14255051869266344,toll_road,2025-01-22,7,4.0,0.5714285714285714,False
508056,glp_post_expansion_occupancy_yoy,2024-12-31,2025-01-22,occupancy,sum,post_expansion_portfolio,1,86.37,2023-12-31,89.63,-3.6371750529956337,508056:post_expansion_portfolio:20241231:occupancy:SSE_508056_20250122_9XL0,508056:post_expansion_portfolio:20231231:occupancy:SSE_508056_20240119_QBOC,verified,verified,verified,2,-3.0971586225070515,-0.5400164304885822,logistics,2025-01-22,7,5.0,0.42857142857142855,False
508028,wind_generation_yoy,2024-12-31,2025-01-22,power_generation,sum,binhai_h1_h2,1,31073.04,2023-12-31,36070.11,-13.853769783346925,508028:binhai_h1_h2:20241231:power_generation:SSE_508028_20250122_36A6,508028:binhai_h1_h2:20231231:power_generation:SSE_508028_20240122_M73M,unverified,unverified,contains_unverified_source_registry,2,6.628404088588985,-20.48217387193591,wind,2025-01-22,7,6.0,0.2857142857142857,False
508096,solar_settlement_yoy,2024-12-31,2025-01-21,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,9000.0,2023-12-31,12200.0,-26.22950819672131,508096:hubei_jingtai_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE|508096:yulin_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE,508096:hubei_jingtai_pv:20231231:settled_electricity:SSE_508096_20240119_MPWQ|508096:yulin_pv:20231231:settled_electricity:SSE_508096_20240119_MPWQ,unverified,unverified,contains_unverified_source_registry,2,-0.041390728476820016,-26.18811746824449,mixed_energy,2025-01-22,7,7.0,0.14285714285714285,False
508018,jiayu_tongcheng_traffic_yoy,2025-03-31,2025-04-22,traffic_volume,sum,jiayu_tongcheng_expressway,1,27500.0,2024-03-31,24200.0,13.636363636363647,508018:jiayu_tongcheng_expressway:20250331:traffic_volume:SSE_508018_20250422_PA2W,508018:jiayu_tongcheng_expressway:20240331:traffic_volume:SSE_508018_20240419_UIX1,verified,verified,verified,3,0.4277865967775683,13.208577039586078,toll_road,2025-04-22,7,1.0,1.0,True
180301,yantian_occupancy_yoy,2025-03-31,2025-04-22,occupancy,sum,modern_logistics_center,1,95.29,2024-03-31,91.16,4.530495831505066,180301:modern_logistics_center:20250331:occupancy:SZSE_1223185276,180301:modern_logistics_center:20240331:occupancy:SZSE_1219689585,verified,verified,verified,4,-7.171283346963281,11.701779178468346,logistics,2025-04-22,7,2.0,0.8571428571428571,True
508056,glp_post_expansion_occupancy_yoy,2025-03-31,2025-04-22,occupancy,sum,post_expansion_portfolio,1,90.59,2024-03-31,85.79,5.595057699032524,508056:post_expansion_portfolio:20250331:occupancy:SSE_508056_20250422_C26F,508056:post_expansion_portfolio:20240331:occupancy:SSE_508056_20240420_HAND,verified,verified,verified,3,-3.277164099336579,8.872221798369104,logistics,2025-04-22,7,3.0,0.7142857142857143,False
180201,guanghe_traffic_yoy,2025-03-31,2025-04-22,traffic_volume,sum,guanghe_expressway,1,134600.0,2024-03-31,136200.0,-1.1747430249632873,180201:guanghe_expressway:20250331:traffic_volume:SZSE_1223191935,180201:guanghe_expressway:20240331:traffic_volume:SZSE_1219694895,verified,verified,verified,4,-3.7118155566474713,2.537072531684184,toll_road,2025-04-22,7,4.0,0.5714285714285714,False
180401,gas_settlement_yoy,2025-03-31,2025-04-21,settled_electricity,sum,dongbu_power_phase1,1,50722.65,2024-03-31,57421.1,-11.665485335529969,180401:dongbu_power_phase1:20250331:settled_electricity:SZSE_1223155851,180401:dongbu_power_phase1:20240331:settled_electricity:SZSE_1219663184,unverified,unverified,contains_unverified_source_registry,6,-5.433756634815758,-6.231728700714211,gas_power,2025-04-22,7,5.0,0.42857142857142855,False
508096,solar_settlement_yoy,2025-03-31,2025-04-22,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,10300.0,2024-03-31,12700.0,-18.89763779527559,508096:hubei_jingtai_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS|508096:yulin_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS,508096:hubei_jingtai_pv:20240331:settled_electricity:SSE_508096_20240420_VD9G|508096:yulin_pv:20240331:settled_electricity:SSE_508096_20240420_VD9G,unverified,unverified,contains_unverified_source_registry,3,-8.77076321789165,-10.126874577383939,mixed_energy,2025-04-22,7,6.0,0.2857142857142857,False
508028,wind_generation_yoy,2025-03-31,2025-04-22,power_generation,sum,binhai_h1_h2,1,34933.27,2024-03-31,42743.86,-18.27301043939411,508028:binhai_h1_h2:20250331:power_generation:SSE_508028_20250422_YHMC,508028:binhai_h1_h2:20240331:power_generation:SSE_508028_20240422_NS1X,unverified,unverified,contains_unverified_source_registry,3,-0.19898720205631845,-18.07402323733779,wind,2025-04-22,7,7.0,0.14285714285714285,False
508028,wind_generation_yoy,2025-06-30,2025-07-21,power_generation,sum,binhai_h1_h2,1,33776.96,2024-06-30,25196.32,34.05513186052567,508028:binhai_h1_h2:20250630:power_generation:SSE_508028_20250721_TBZ8,508028:binhai_h1_h2:20240630:power_generation:SSE_508028_20240719_95R7,unverified,unverified,contains_unverified_source_registry,4,-4.717493011390767,38.772624871916435,wind,2025-07-21,7,1.0,1.0,True
180301,yantian_occupancy_yoy,2025-06-30,2025-07-18,occupancy,sum,modern_logistics_center,1,96.05,2024-06-30,91.5,4.972677595628405,180301:modern_logistics_center:20250630:occupancy:SZSE_1224202354,180301:modern_logistics_center:20240630:occupancy:SZSE_1220674820,verified,verified,verified,5,-4.8309275112696115,9.803605106898017,logistics,2025-07-21,7,2.0,0.8571428571428571,True
508056,glp_post_expansion_occupancy_yoy,2025-06-30,2025-07-21,occupancy,sum,post_expansion_portfolio,1,92.24,2024-06-30,85.64,7.706679121905635,508056:post_expansion_portfolio:20250630:occupancy:SSE_508056_20250721_ICAX,508056:post_expansion_portfolio:20240630:occupancy:SSE_508056_20240719_ZXZK,verified,verified,verified,4,-1.059108649744303,8.765787771649938,logistics,2025-07-21,7,3.0,0.7142857142857143,False
180201,guanghe_traffic_yoy,2025-06-30,2025-07-21,traffic_volume,sum,guanghe_expressway,1,132600.0,2024-06-30,128400.0,3.2710280373831724,180201:guanghe_expressway:20250630:traffic_volume:SZSE_1224215339,180201:guanghe_expressway:20240630:traffic_volume:SZSE_1220676362,verified,verified,verified,5,-3.204401050310634,6.475429087693806,toll_road,2025-07-21,7,4.0,0.5714285714285714,False
508018,jiayu_tongcheng_traffic_yoy,2025-06-30,2025-07-21,traffic_volume,sum,jiayu_tongcheng_expressway,1,22795.89,2024-06-30,21600.0,5.536527777777778,508018:jiayu_tongcheng_expressway:20250630:traffic_volume:SSE_508018_20250721_QGWH,508018:jiayu_tongcheng_expressway:20240630:traffic_volume:SSE_508018_20240718_B4R7,verified,verified,verified,4,3.729930856674088,1.8065969211036896,toll_road,2025-07-21,7,5.0,0.42857142857142855,False
180401,gas_settlement_yoy,2025-06-30,2025-07-18,settled_electricity,sum,dongbu_power_phase1,1,85166.4,2024-06-30,99026.4,-13.996267661956807,180401:dongbu_power_phase1:20250630:settled_electricity:SZSE_1224203482,180401:dongbu_power_phase1:20240630:settled_electricity:SZSE_1220664855,unverified,unverified,contains_unverified_source_registry,7,-6.324003592060644,-7.672264069896163,gas_power,2025-07-21,7,6.0,0.2857142857142857,False
508096,solar_settlement_yoy,2025-06-30,2025-07-21,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,11100.0,2024-06-30,17100.0,-35.08771929824561,508096:hubei_jingtai_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3|508096:yulin_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3,508096:hubei_jingtai_pv:20240630:settled_electricity:SSE_508096_20240718_M0BE|508096:yulin_pv:20240630:settled_electricity:SSE_508096_20240718_M0BE,unverified,unverified,contains_unverified_source_registry,4,-11.302481862237634,-23.785237436007975,mixed_energy,2025-07-21,7,7.0,0.14285714285714285,False
180301,yantian_occupancy_yoy,2025-09-30,2025-10-28,occupancy,sum,modern_logistics_center,1,92.93,2024-09-30,88.26,5.291185134828913,180301:modern_logistics_center:20250930:occupancy:SZSE_1224738313,180301:modern_logistics_center:20240930:occupancy:SZSE_1221505102,verified,verified,verified,6,-3.196993326786609,8.488178461615522,logistics,2025-10-28,8,1.0,1.0,True
508056,glp_post_expansion_occupancy_yoy,2025-09-30,2025-10-28,occupancy,sum,post_expansion_portfolio,1,88.83,2024-09-30,84.94,4.57970331999058,508056:post_expansion_portfolio:20250930:occupancy:SSE_508056_20251028_WX10,508056:post_expansion_portfolio:20240930:occupancy:SSE_508056_20241025_Y07L,verified,verified,verified,5,0.6940489045856847,3.8856544154048955,logistics,2025-10-28,8,2.0,0.875,True
180401,gas_settlement_yoy,2025-09-30,2025-10-27,settled_electricity,sum,dongbu_power_phase1,1,114637.05,2024-09-30,122828.75,-6.669204074778912,180401:dongbu_power_phase1:20250930:settled_electricity:SZSE_1224738150,180401:dongbu_power_phase1:20240930:settled_electricity:SZSE_1221490500,unverified,unverified,contains_unverified_source_registry,8,-7.283036600797665,0.6138325260187534,gas_power,2025-10-28,8,3.0,0.75,False
180201,guanghe_traffic_yoy,2025-09-30,2025-10-28,traffic_volume,sum,guanghe_expressway,1,148000.0,2024-09-30,151800.0,-2.503293807641638,180201:guanghe_expressway:20250930:traffic_volume:SZSE_1224744609,180201:guanghe_expressway:20240930:traffic_volume:SZSE_1221508383,verified,verified,verified,6,-2.1251628690283333,-0.3781309386133045,toll_road,2025-10-28,8,4.0,0.625,False
508096,solar_settlement_yoy,2025-09-30,2025-10-27,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,11000.0,2024-09-30,13200.0,-16.666666666666664,508096:hubei_jingtai_pv:20250930:settled_electricity:SSE_508096_20251027_34QT|508096:yulin_pv:20250930:settled_electricity:SSE_508096_20251027_34QT,508096:hubei_jingtai_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1|508096:yulin_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1,unverified,unverified,contains_unverified_source_registry,5,-16.05952934943923,-0.6071373172274335,mixed_energy,2025-10-28,8,5.0,0.5,False
508018,jiayu_tongcheng_traffic_yoy,2025-09-30,2025-10-28,traffic_volume,sum,jiayu_tongcheng_expressway,1,26467.48,2024-09-30,28100.0,-5.8096797153024955,508018:jiayu_tongcheng_expressway:20250930:traffic_volume:SSE_508018_20251028_TOR5,508018:jiayu_tongcheng_expressway:20240930:traffic_volume:SSE_508018_20241025_3E0F,verified,verified,verified,5,4.0912502408948255,-9.90092995619732,toll_road,2025-10-28,8,6.0,0.375,False
508026,hydro_generation_yoy,2025-09-30,2025-10-28,power_generation,sum,wuyiqiao_1_5,1,22043.064,2024-09-30,23640.0112,-6.755272603254947,508026:wuyiqiao_1_5:20250930:power_generation:508026_2025Q3,508026:wuyiqiao_1_5:20240930:power_generation:508026_2024Q3,verified,verified,verified,1,14.307212941519222,-21.06248554477417,hydropower,2025-10-28,8,7.0,0.25,False
508028,wind_generation_yoy,2025-09-30,2025-10-28,power_generation,sum,binhai_h1_h2,1,21963.23,2024-09-30,29151.13,-24.657363196555337,508028:binhai_h1_h2:20250930:power_generation:SSE_508028_20251028_036Z,508028:binhai_h1_h2:20240930:power_generation:SSE_508028_20241025_2Z9V,unverified,unverified,contains_unverified_source_registry,5,3.037031962992522,-27.69439515954786,wind,2025-10-28,8,8.0,0.125,False
508028,wind_generation_yoy,2025-12-31,2026-01-22,power_generation,sum,binhai_h1_h2,1,35849.05,2024-12-31,31073.04,15.370269532688141,508028:binhai_h1_h2:20251231:power_generation:SSE_508028_20260122_8WBS,508028:binhai_h1_h2:20241231:power_generation:SSE_508028_20250122_36A6,unverified,unverified,contains_unverified_source_registry,6,-1.5787005635987879,16.948970096286928,wind,2026-01-22,8,1.0,1.0,True
508096,solar_settlement_yoy,2025-12-31,2026-01-22,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,8500.0,2024-12-31,9000.0,-5.555555555555558,508096:hubei_jingtai_pv:20251231:settled_electricity:SSE_508096_20260122_2ECJ|508096:yulin_pv:20251231:settled_electricity:SSE_508096_20260122_2ECJ,508096:hubei_jingtai_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE|508096:yulin_pv:20241231:settled_electricity:SSE_508096_20250121_E6TE,unverified,unverified,contains_unverified_source_registry,6,-16.160718902310467,10.60516334675491,mixed_energy,2026-01-22,8,2.0,0.875,True
508056,glp_post_expansion_occupancy_yoy,2025-12-31,2026-01-22,occupancy,sum,post_expansion_portfolio,1,89.54,2024-12-31,86.37,3.670255875882833,508056:post_expansion_portfolio:20251231:occupancy:SSE_508056_20260122_3U4R,508056:post_expansion_portfolio:20241231:occupancy:SSE_508056_20250122_9XL0,verified,verified,verified,6,1.341657973819834,2.3285979020629988,logistics,2026-01-22,8,3.0,0.75,False
180301,yantian_occupancy_yoy,2025-12-31,2026-01-22,occupancy,sum,modern_logistics_center,1,91.14,2024-12-31,93.0,-2.0000000000000018,180301:modern_logistics_center:20251231:occupancy:SZSE_1224943596,180301:modern_logistics_center:20241231:occupancy:SZSE_1222389148,verified,verified,verified,7,-1.9843964036986768,-0.015603596301325018,logistics,2026-01-22,8,4.0,0.625,False
180201,guanghe_traffic_yoy,2025-12-31,2026-01-22,traffic_volume,sum,guanghe_expressway,1,130600.0,2024-12-31,133700.0,-2.3186237845923663,180201:guanghe_expressway:20251231:traffic_volume:SZSE_1224944344,180201:guanghe_expressway:20241231:traffic_volume:SZSE_1222390047,verified,verified,verified,7,-2.1791815745445198,-0.13944221004784652,toll_road,2026-01-22,8,5.0,0.5,False
508018,jiayu_tongcheng_traffic_yoy,2025-12-31,2026-01-22,traffic_volume,sum,jiayu_tongcheng_expressway,1,23361.89,2024-12-31,23400.0,-0.16286324786325412,508018:jiayu_tongcheng_expressway:20251231:traffic_volume:SSE_508018_20260122_1JOC,508018:jiayu_tongcheng_expressway:20241231:traffic_volume:SSE_508018_20250122_8BLC,verified,verified,verified,6,2.4410952481952726,-2.6039584960585267,toll_road,2026-01-22,8,6.0,0.375,False
180401,gas_settlement_yoy,2025-12-31,2026-01-21,settled_electricity,sum,dongbu_power_phase1,1,64582.65,2024-12-31,71922.4,-10.205096047962792,180401:dongbu_power_phase1:20251231:settled_electricity:SZSE_1224942753,180401:dongbu_power_phase1:20241231:settled_electricity:SZSE_1222380727,unverified,unverified,contains_unverified_source_registry,9,-7.214832986795582,-2.9902630611672105,gas_power,2026-01-22,8,7.0,0.25,False
508026,hydro_generation_yoy,2025-12-31,2026-01-22,power_generation,sum,wuyiqiao_1_5,1,9775.3648,2024-12-31,12754.297,-23.356302585708967,508026:wuyiqiao_1_5:20251231:power_generation:508026_2025Q4,508026:wuyiqiao_1_5:20241231:power_generation:508026_2024Q4,verified,verified,verified,2,3.7759701691321372,-27.132272754841104,hydropower,2026-01-22,8,8.0,0.125,False
508026,hydro_generation_yoy,2026-03-31,2026-04-22,power_generation,sum,wuyiqiao_1_5,1,8590.6752,2025-03-31,5791.1392,48.34171487364698,508026:wuyiqiao_1_5:20260331:power_generation:508026_2026Q1,508026:wuyiqiao_1_5:20250331:power_generation:508026_2025Q1,verified,verified,verified,3,-5.268120749148231,53.60983562279521,hydropower,2026-04-22,8,1.0,1.0,True
180401,gas_settlement_yoy,2026-03-31,2026-04-21,settled_electricity,sum,dongbu_power_phase1,1,62136.25,2025-03-31,50722.65,22.501978898973142,180401:dongbu_power_phase1:20260331:settled_electricity:SZSE_1225132017,180401:dongbu_power_phase1:20250331:settled_electricity:SZSE_1223155851,unverified,unverified,contains_unverified_source_registry,10,-7.5138592929123025,30.015838191885443,gas_power,2026-04-22,8,2.0,0.875,True
508096,solar_settlement_yoy,2026-03-31,2026-04-22,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,9700.0,2025-03-31,10300.0,-5.825242718446599,508096:hubei_jingtai_pv:20260331:settled_electricity:SSE_508096_20260422_A83Y|508096:yulin_pv:20260331:settled_electricity:SSE_508096_20260422_A83Y,508096:hubei_jingtai_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS|508096:yulin_pv:20250331:settled_electricity:SSE_508096_20250422_WDVS,unverified,unverified,contains_unverified_source_registry,7,-14.645695567059766,8.820452848613167,mixed_energy,2026-04-22,8,3.0,0.75,False
180201,guanghe_traffic_yoy,2026-03-31,2026-04-22,traffic_volume,sum,guanghe_expressway,1,141000.0,2025-03-31,134600.0,4.754829123328386,180201:guanghe_expressway:20260331:traffic_volume:SZSE_1225140159,180201:guanghe_expressway:20250331:traffic_volume:SZSE_1223191935,verified,verified,verified,8,-2.1966118508005006,6.951440974128886,toll_road,2026-04-22,8,4.0,0.625,False
508018,jiayu_tongcheng_traffic_yoy,2026-03-31,2026-04-22,traffic_volume,sum,jiayu_tongcheng_expressway,1,29382.44,2025-03-31,27500.0,6.8452363636363645,508018:jiayu_tongcheng_expressway:20260331:traffic_volume:SSE_508018_20260422_LXZD,508018:jiayu_tongcheng_expressway:20250331:traffic_volume:SSE_508018_20250422_PA2W,verified,verified,verified,7,2.069101177329769,4.776135186306595,toll_road,2026-04-22,8,5.0,0.5,False
180301,yantian_occupancy_yoy,2026-03-31,2026-04-21,occupancy,sum,modern_logistics_center,1,91.73,2025-03-31,95.29,-3.735963899674677,180301:modern_logistics_center:20260331:occupancy:SZSE_1225127044,180301:modern_logistics_center:20250331:occupancy:SZSE_1223185276,verified,verified,verified,8,-1.9863468532363426,-1.7496170464383343,logistics,2026-04-22,8,6.0,0.375,False
508056,glp_post_expansion_occupancy_yoy,2026-03-31,2026-04-22,occupancy,sum,post_expansion_portfolio,1,86.72,2025-03-31,90.59,-4.271994701401926,508056:post_expansion_portfolio:20260331:occupancy:SSE_508056_20260422_YTZD,508056:post_expansion_portfolio:20250331:occupancy:SSE_508056_20250422_C26F,verified,verified,verified,7,1.674314816971691,-5.946309518373617,logistics,2026-04-22,8,7.0,0.25,False
508028,wind_generation_yoy,2026-03-31,2026-04-22,power_generation,sum,binhai_h1_h2,1,28156.57,2025-03-31,34933.27,-19.39898555159594,508028:binhai_h1_h2:20260331:power_generation:SSE_508028_20260422_YR89,508028:binhai_h1_h2:20250331:power_generation:SSE_508028_20250422_YHMC,unverified,unverified,contains_unverified_source_registry,7,0.8425808787279162,-20.241566430323854,wind,2026-04-22,8,8.0,0.125,False
508096,solar_settlement_yoy,2026-06-30,2026-07-21,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,12200.0,2025-06-30,11100.0,9.90990990990992,508096:hubei_jingtai_pv:20260630:settled_electricity:508096_2026Q2|508096:yulin_pv:20260630:settled_electricity:508096_2026Q2,508096:hubei_jingtai_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3|508096:yulin_pv:20250630:settled_electricity:SSE_508096_20250721_YPD3,verified,unverified,contains_unverified_source_registry,8,-13.543138960983121,23.453048870893042,mixed_energy,2026-07-21,8,1.0,1.0,True
180201,guanghe_traffic_yoy,2026-06-30,2026-07-21,traffic_volume,sum,guanghe_expressway,1,133800.0,2025-06-30,132600.0,0.9049773755656076,180201:guanghe_expressway:20260630:traffic_volume:SZSE_1225433696,180201:guanghe_expressway:20250630:traffic_volume:SZSE_1224215339,verified,verified,verified,9,-1.4242295203417354,2.329206895907343,toll_road,2026-07-21,8,2.0,0.875,True
508018,jiayu_tongcheng_traffic_yoy,2026-06-30,2026-07-21,traffic_volume,sum,jiayu_tongcheng_expressway,1,23751.12,2025-06-30,22795.89,4.190360630797918,508018:jiayu_tongcheng_expressway:20260630:traffic_volume:SSE_508018_20260721_VWHG,508018:jiayu_tongcheng_expressway:20250630:traffic_volume:SSE_508018_20250721_QGWH,verified,verified,verified,8,2.666118075618093,1.5242425551798249,toll_road,2026-07-21,8,3.0,0.75,False
180301,yantian_occupancy_yoy,2026-06-30,2026-07-21,occupancy,sum,modern_logistics_center,1,93.59,2025-06-30,96.05,-2.561166059344089,180301:modern_logistics_center:20260630:occupancy:SZSE_1225432330,180301:modern_logistics_center:20250630:occupancy:SZSE_1224202354,verified,verified,verified,9,-2.180748747285046,-0.3804173120590426,logistics,2026-07-21,8,4.0,0.625,False
508056,glp_post_expansion_occupancy_yoy,2026-06-30,2026-07-21,occupancy,sum,post_expansion_portfolio,1,92.34,2025-06-30,92.24,0.10841283607980756,508056:post_expansion_portfolio:20260630:occupancy:SSE_508056_20260721_IU7O,508056:post_expansion_portfolio:20250630:occupancy:SSE_508056_20250721_ICAX,verified,verified,verified,8,0.9310261271749888,-0.8226132910951812,logistics,2026-07-21,8,5.0,0.5,False
508026,hydro_generation_yoy,2026-06-30,2026-07-21,power_generation,sum,wuyiqiao_1_5,1,8421.2304,2025-06-30,9259.3872,-9.051968363521933,508026:wuyiqiao_1_5:20260630:power_generation:508026_2026Q2,508026:wuyiqiao_1_5:20250630:power_generation:508026_2025Q2,verified,verified,verified,4,8.134338156550571,-17.186306520072506,hydropower,2026-07-21,8,6.0,0.375,False
508028,wind_generation_yoy,2026-06-30,2026-07-21,power_generation,sum,binhai_h1_h2,1,25758.24,2025-06-30,33776.96,-23.740206341837744,508028:binhai_h1_h2:20260630:power_generation:508028_2026Q2,508028:binhai_h1_h2:20250630:power_generation:SSE_508028_20250721_TBZ8,verified,unverified,contains_unverified_source_registry,8,-1.6876149250625656,-22.05259141677518,wind,2026-07-21,8,7.0,0.25,False
180401,gas_settlement_yoy,2026-06-30,2026-07-20,settled_electricity,sum,dongbu_power_phase1,1,60688.1,2025-06-30,85166.4,-28.741733829303573,180401:dongbu_power_phase1:20260630:settled_electricity:180401_2026Q2,180401:dongbu_power_phase1:20250630:settled_electricity:SZSE_1224203482,verified,unverified,contains_unverified_source_registry,11,-4.785146730013626,-23.956587099289948,gas_power,2026-07-21,8,8.0,0.125,False
