symbol,asset_id,period_end,metric,value,unit,publication_date,source_url,source_note
508026,wuyiqiao_1_5,2025-06-30,power_generation,9259.3872,10k_kWh,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508026_20250721_N3IB.pdf,2025年第2季度报告
508026,wuyiqiao_1_5,2025-06-30,utilization_hours,676,hours,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508026_20250721_N3IB.pdf,原披露名称为有效发电小时
508026,wuyiqiao_1_5,2025-06-30,settled_electricity,9125.6374,10k_kWh,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508026_20250721_N3IB.pdf,当期名称为上网电量且含暂估数据；后续规则调整名称为结算电量
508026,wuyiqiao_1_5,2025-06-30,settlement_tariff_excl_tax,0.1900,RMB_per_kWh,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508026_20250721_N3IB.pdf,当期名称为不含税上网电价
508026,wuyiqiao_1_5,2025-09-30,power_generation,22043.0640,10k_kWh,2025-10-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-28/508026_20251028_EZQC.pdf,2025年第3季度报告
508026,wuyiqiao_1_5,2025-09-30,utilization_hours,1609,hours,2025-10-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-28/508026_20251028_EZQC.pdf,原披露名称为有效发电小时
508026,wuyiqiao_1_5,2025-09-30,settled_electricity,21767.4671,10k_kWh,2025-10-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-28/508026_20251028_EZQC.pdf,当期名称为上网电量且含暂估数据；后续规则调整名称为结算电量
508026,wuyiqiao_1_5,2025-09-30,settlement_tariff_excl_tax,0.1293,RMB_per_kWh,2025-10-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-28/508026_20251028_EZQC.pdf,当期名称为不含税上网电价
508026,wuyiqiao_1_5,2025-12-31,power_generation,9775.3648,10k_kWh,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508026_20260122_LA91.pdf,2025年第4季度报告
508026,wuyiqiao_1_5,2025-12-31,utilization_hours,714,hours,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508026_20260122_LA91.pdf,披露名称已调整为等效利用小时数
508026,wuyiqiao_1_5,2025-12-31,settled_electricity,9634.2076,10k_kWh,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508026_20260122_LA91.pdf,披露名称已调整为结算电量
508026,wuyiqiao_1_5,2025-12-31,settlement_tariff_excl_tax,0.2013,RMB_per_kWh,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508026_20260122_LA91.pdf,不含税结算电价
508026,wuyiqiao_1_5,2026-03-31,power_generation,8590.6752,10k_kWh,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508026_20260422_21XV.pdf,2026年第1季度报告
508026,wuyiqiao_1_5,2026-03-31,utilization_hours,627,hours,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508026_20260422_21XV.pdf,披露名称为等效利用小时数
508026,wuyiqiao_1_5,2026-03-31,settled_electricity,8448.1966,10k_kWh,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508026_20260422_21XV.pdf,披露名称为结算电量
508026,wuyiqiao_1_5,2026-03-31,settlement_tariff_excl_tax,0.3255,RMB_per_kWh,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508026_20260422_21XV.pdf,不含税结算电价
